perplexity,auc_rnx,bic,cca_stress,kl_divergence,mds_isotonic,pearsonr,sammon_nlm
1,0.26888719986121373,1.6161462648228806,947126.2628421668,0.8055479940806868,0.9983858142420746,0.04352975503395773,0.3387265982880734
2,0.4349933982102323,1.7661902821731639,950824.6176522115,0.878044864425075,0.987870522073313,0.032041064389812426,0.33324199655469183
3,0.4893765233868531,1.6045455415460155,904218.7197081984,0.7946973557807473,0.9693306304095753,0.0935443282387822,0.32259771338952253
4,0.5160632898432425,1.4593457805981065,891569.28128735,0.7195723369760393,0.9636918861633111,0.11877048292748288,0.3203703788008426
5,0.5334766726490665,1.410749851240156,874474.9046780115,0.6927492339663105,0.9635492368124247,0.09058443810372091,0.3310526444675505
6,0.5494546235735824,1.2752403700598895,879527.1510830058,0.6224693550454239,0.9571101270618264,0.12107618564584503,0.3244024272748534
7,0.5590681362715322,1.249994894635768,859002.594332532,0.6073214790026096,0.952142191688815,0.13561626001034652,0.3211821536940014
8,0.5646373736944259,1.2136372428784055,833648.0329631816,0.5866175147931748,0.9503350014546893,0.1548294284893751,0.32023476085602737
9,0.568169143192328,1.1995312412312062,821476.2763086151,0.5770393756388217,0.9380623618778074,0.19703911491425224,0.31321423822215777
10,0.5824539349534789,1.1446494895193065,770470.1673252179,0.5470733614521184,0.9317357498175864,0.23537444848362188,0.3117363599397716
11,0.5820169656177472,1.1266016699757713,766656.0088413362,0.5355243133495973,0.9295707473988765,0.2358395334533056,0.3132202314871696
12,0.5812232573595287,1.1202809967392888,781666.9948478073,0.5298388384006025,0.9335214272126106,0.21923375116494792,0.3138341161739103
13,0.5836227672570456,1.0671919651831265,781779.4580182368,0.500769184291768,0.9256198020379061,0.22477648082536228,0.3138525495985013
14,0.5827465482108057,1.06584512125061,792752.3455827474,0.49757062399475616,0.9265190485067862,0.21367440079105288,0.3166539249862238
15,0.5845536638929963,1.0498515880516388,779198.2005415066,0.487048719064517,0.9258968915142285,0.2203177578585753,0.320090902363555
16,0.5847382087960772,1.0460188699861541,765841.0157420855,0.4826072217010212,0.9193519851771679,0.2267377980282945,0.31818739267150464
17,0.5893759220071211,1.042160941912411,764431.7903407225,0.4781531193333962,0.9142342137872493,0.2410143689543813,0.31128057113002977
18,0.589944813962602,1.030781884113195,760764.4598961986,0.46993845210303475,0.9157770987253332,0.23626156542211088,0.3134614890013119
19,0.5942206583786516,1.018803978929168,745012.5085314865,0.4614243611802678,0.9107426249628849,0.2573560428478945,0.31320935383855264
20,0.5920984918092632,1.0034418318889686,756648.7476033887,0.4512181493294145,0.9135949227534986,0.2468267660473204,0.31799868444293233
21,0.5944222147965483,1.0104362347916847,732157.7051742716,0.4521902124500191,0.913429096286367,0.2582158138099577,0.3191193289973306
22,0.5940557462390522,0.9941389956504503,737544.959090941,0.4415164545486484,0.9138979137695792,0.25605310837998413,0.31950561919901216
23,0.599555795795625,1.0077199139301911,715055.5890714561,0.44578177535776536,0.9070217025735076,0.2777492148501652,0.32119235791999046
24,0.6013306651391879,0.9994613982366967,711487.0600880767,0.4391273791802646,0.9103173859773919,0.2693290021211038,0.32362087031218933
25,0.6037561365773791,1.031071738620952,699059.5404572992,0.4524074110416388,0.9063007387688694,0.2819430863430326,0.32239776369902895
26,0.6026083523852684,1.0414225591346224,692906.9498603384,0.4550576829677206,0.89837970335639,0.2888670106393711,0.3120785030664912
27,0.6029363765619872,1.0358593574304582,693805.5370804876,0.4497509437848849,0.8997989889754864,0.29866434268346137,0.3129195725726937
28,0.6024259347135215,1.0271814181305885,701467.6246424061,0.4428868358041965,0.9063102477267339,0.27404444663875527,0.32409003979759676
29,0.6025431913985071,1.0315685359758413,693028.8340168771,0.4425552563960695,0.8998234649436194,0.2960074163596394,0.3200109764098944
30,0.6011392940835555,1.0417511390590257,692342.9032970876,0.44512141960690826,0.9058336891461531,0.27835419584241183,0.31923754013836814
31,0.6085125321360588,1.0411666367557564,674311.1247718675,0.44230403012452,0.9050826663792586,0.28704283212495124,0.32984059887819084
32,0.6043659522833372,1.0279122033050947,688768.0033829217,0.4331516750684357,0.9058389253127976,0.27757412511446655,0.3236956772081062
33,0.603548277203195,1.0427627250060358,684163.2201084204,0.4380517975881528,0.9075049016397616,0.2787221797956147,0.3304426294524639
34,0.6088272185699118,1.0085337789280804,652295.6785833519,0.41841218621842163,0.8935298729546084,0.3146506201914618,0.3268864651360786
35,0.6091855074445278,1.035724704535937,661145.9947786442,0.42948251069159643,0.8848372245984923,0.3211398282140927,0.3245860112329094
36,0.6109780545847157,1.0055458362283316,658675.29728517,0.4118679382070402,0.884281219624543,0.3312124048773948,0.31906960348463825
37,0.6120493754038205,1.0051218853899984,669353.3985081055,0.40913082445712007,0.8950036683837566,0.3048592875788155,0.3281700125909458
38,0.6147660720776813,1.0167407190180866,649847.7786598217,0.4124151029404107,0.8837371603863396,0.3278383754571095,0.32389647064067867
39,0.6136312208345807,1.0106496891198782,652636.5309950716,0.406844449660553,0.8835363833056129,0.3248366230438076,0.32398139299204104
40,0.6099423759040802,1.0296807623942272,655750.604759095,0.4138348479669741,0.8807079541811395,0.3360307202587622,0.32224515902709866
41,0.6131267534625432,1.0198532802875069,636414.6925563107,0.4063959685828604,0.884753387586974,0.3224758584429693,0.3302719954415839
42,0.6116686618382743,1.0406173821307712,642255.3365334285,0.41425288117373904,0.8808648916426524,0.3357965806952579,0.32297468734888657
43,0.6114658247827021,1.0219263593705445,643141.9105108124,0.40238223146287233,0.8861121368871556,0.31887179440593016,0.32794776640291934
44,0.6129044037778218,1.0165225678607517,636770.1500377845,0.3971551973772224,0.8852730161154054,0.32515908886301265,0.3312885246981355
45,0.6168022064407336,1.0407677644274986,623203.008929333,0.40675265732984234,0.8833975883334423,0.33403121193222074,0.3333355466941175
46,0.6149212020524966,1.0242493228937906,633806.0645829177,0.3959682982322348,0.8838883487912788,0.32510124577158034,0.33309195326234803
47,0.6128424192547961,1.0156105790330874,634739.930798032,0.3891237879711297,0.8855669856254275,0.3212744174550558,0.332275351732477
48,0.6098684498471623,1.0460964748529367,644321.5450710398,0.40184159755030086,0.8839058023390212,0.3247885079486302,0.32764303939111517
49,0.6109507115426207,1.0187710945618862,650659.7485704245,0.3856537690740222,0.8812590812280764,0.32378530965206703,0.3242311507364318
50,0.6077783062571983,1.0433185343169047,642564.988803443,0.3954023506207779,0.8796385326850765,0.32756104600938224,0.32650117054027566
