perplexity,chain,chain_earlystop,normal,normal_earlystop
1,999,999,999,999
2,999,669,999,999
3,999,399,999,679
4,999,299,999,509
5,999,249,999,489
6,999,189,999,469
7,999,159,999,439
8,999,169,999,419
9,999,119,999,409
10,999,109,999,409
11,999,109,999,449
12,999,89,999,409
13,999,79,999,379
14,999,99,999,429
15,999,59,999,379
16,999,49,999,439
17,999,49,999,399
18,999,39,999,369
19,999,39,999,369
20,999,0.0,999,379
21,999,39,999,359
22,999,39,999,369
23,999,29,999,349
24,999,29,999,349
25,999,29,999,379
26,999,29,999,369
27,999,39,999,339
28,999,29,999,369
29,999,29,999,379
30,999,39,999,359
31,999,39,999,369
32,999,29,999,349
33,999,29,999,359
34,999,29,999,339
35,999,29,999,359
36,999,29,999,349
37,999,29,999,359
38,999,29,999,349
39,999,39,999,339
40,999,29,999,349
41,999,29,999,359
42,999,39,999,399
43,999,29,999,349
44,999,39,999,379
45,999,29,999,369
46,999,39,999,389
47,999,39,999,359
48,999,29,999,399
49,999,39,999,369
50,999,29,999,349
51,999,39,999,389
52,999,39,999,339
53,999,39,999,389
54,999,39,999,349
55,999,39,999,389
56,999,39,999,379
57,999,39,999,339
58,999,39,999,359
59,999,39,999,399
60,999,39,999,349
61,999,39,999,369
62,999,39,999,349
63,999,39,999,359
64,999,39,999,339
65,999,39,999,339
66,999,39,999,409
67,999,39,999,339
68,999,39,999,399
69,999,49,999,359
70,999,49,999,359
71,999,59,999,329
72,999,59,999,349
73,999,59,999,339
74,999,69,999,339
75,999,69,999,329
76,999,59,999,339
77,999,69,999,329
78,999,69,999,329
79,999,59,999,349
80,999,59,999,329
81,999,59,999,339
82,999,69,999,339
83,999,59,999,399
84,999,69,999,329
85,999,69,999,379
86,999,69,999,329
87,999,69,999,359
88,999,79,999,329
89,999,69,999,339
90,999,129,999,339
91,999,99,999,339
92,999,149,999,389
93,999,159,999,359
94,999,129,999,359
95,999,99,999,339
96,999,149,999,389
97,999,159,999,349
98,999,149,999,519
99,999,159,999,339
100,999,169,999,349
101,999,169,999,349
102,999,169,999,349
103,999,169,999,359
104,999,179,999,389
105,999,179,999,399
106,999,179,999,349
107,999,179,999,349
108,999,179,999,369
109,999,179,999,359
110,999,179,999,379
111,999,179,999,359
112,999,179,999,389
113,999,179,999,359
114,999,179,999,359
115,999,179,999,379
116,999,189,999,379
117,999,179,999,489
118,999,189,999,399
119,999,189,999,389
120,999,189,999,359
121,999,189,999,359
122,999,189,999,389
123,999,189,999,379
124,999,189,999,379
125,999,189,999,409
126,999,189,999,359
127,999,179,999,369
128,999,189,999,369
129,999,179,999,389
130,999,179,999,369
131,999,179,999,359
132,999,179,999,339
133,999,179,999,339
134,999,189,999,359
135,999,189,999,339
136,999,179,999,369
137,999,179,999,359
138,999,179,999,349
139,999,179,999,389
140,999,179,999,359
141,999,179,999,359
142,999,179,999,339
143,999,179,999,339
144,999,179,999,359
145,999,179,999,379
146,999,179,999,359
147,999,179,999,369
148,999,179,999,359
149,999,179,999,349
150,999,169,999,349
151,999,169,999,369
152,999,179,999,369
153,999,169,999,379
154,999,169,999,349
155,999,169,999,389
156,999,169,999,369
157,999,169,999,359
158,999,169,999,369
159,999,169,999,359
160,999,169,999,419
161,999,169,999,369
162,999,169,999,359
163,999,169,999,409
164,999,169,999,339
165,999,169,999,369
166,999,169,999,409
167,999,169,999,379
168,999,169,999,369
169,999,169,999,429
170,999,169,999,369
171,999,169,999,349
172,999,169,999,449
173,999,169,999,449
174,999,169,999,359
175,999,169,999,349
176,999,169,999,379
177,999,169,999,339
178,999,169,999,409
179,999,169,999,369
180,999,169,999,369
181,999,169,999,339
182,999,169,999,339
183,999,169,999,339
184,999,169,999,339
185,999,169,999,339
186,999,169,999,339
187,999,169,999,339
188,999,169,999,359
