perplexity,chain,chain_earlystop,normal,normal_earlystop
1,10.197488784790039,10.130545139312744,9.939659833908081,9.270703792572021
2,5.260015487670898,4.879001617431641,4.750545263290405,4.633686304092407
3,4.796388387680054,4.523252010345459,5.028011798858643,4.188399314880371
4,4.439138650894165,4.238771200180054,4.526329040527344,4.161168098449707
5,4.205585241317749,4.147741794586182,4.3137876987457275,4.0859129428863525
6,4.156143426895142,4.160917043685913,4.298687696456909,4.185654878616333
7,4.038053274154663,4.036482810974121,4.1500208377838135,4.0611419677734375
8,4.002173662185669,4.040683746337891,4.176602363586426,4.0124289989471436
9,3.9266717433929443,4.054492235183716,4.162198305130005,3.921182870864868
10,3.9000279903411865,3.978178024291992,4.046011686325073,3.9800593852996826
11,4.024034261703491,3.9680564403533936,4.265594482421875,4.018475770950317
12,4.087266445159912,3.9599485397338867,3.9590935707092285,3.908825159072876
13,3.9260714054107666,3.9175913333892822,4.192561149597168,3.967007637023926
14,3.9394466876983643,4.150499582290649,4.127389430999756,3.986581325531006
15,3.9078192710876465,3.9679324626922607,4.14666748046875,4.077376365661621
16,3.9657199382781982,3.842566967010498,4.013195514678955,4.477895021438599
17,3.9135212898254395,3.7852089405059814,4.069752216339111,4.843441009521484
18,4.371935844421387,4.226394176483154,4.209911108016968,4.355482816696167
19,3.952634572982788,3.819204092025757,4.141694784164429,3.990563154220581
20,4.144205093383789,0.0,4.144205093383789,4.029715299606323
21,3.721534252166748,4.054166555404663,4.121625185012817,3.981074810028076
22,3.7944538593292236,3.9421305656433105,3.9533638954162598,4.248950719833374
23,3.841195821762085,4.324300050735474,4.160747051239014,3.9860916137695312
24,4.212267160415649,3.901275157928467,3.9645304679870605,4.158539056777954
25,3.8261313438415527,3.814025402069092,4.184641599655151,3.9562175273895264
26,3.7979981899261475,4.526293039321899,4.038116216659546,4.0489513874053955
27,3.858733654022217,4.092956781387329,4.0984790325164795,4.363357067108154
28,4.017643213272095,3.995098829269409,4.1097705364227295,4.150799036026001
29,3.9894909858703613,4.843497276306152,4.133121013641357,4.226980209350586
30,3.969536781311035,4.335499286651611,4.08101749420166,4.2201831340789795
31,4.557406425476074,4.239574670791626,3.9815690517425537,4.152524471282959
32,3.7700083255767822,3.896611213684082,4.033437013626099,3.9236643314361572
33,4.5717713832855225,3.2915494441986084,4.058418273925781,3.956103801727295
34,3.920905828475952,3.2147281169891357,4.285011529922485,4.013025522232056
35,3.7798428535461426,2.6211352348327637,4.394680976867676,4.123229026794434
36,4.502932786941528,2.7913005352020264,4.230783700942993,4.3074235916137695
37,3.7308642864227295,2.430370569229126,3.998702049255371,4.134320259094238
38,3.7477731704711914,2.168586254119873,4.000369548797607,4.259503126144409
39,4.737367153167725,1.7339444160461426,4.1857218742370605,4.016272068023682
40,3.9557344913482666,1.6661794185638428,4.073176860809326,4.146122932434082
41,3.6866846084594727,3.931875228881836,4.130611419677734,4.292584657669067
42,3.7047672271728516,3.7361974716186523,4.3331663608551025,4.072478771209717
43,3.7861719131469727,3.8352949619293213,4.166699171066284,4.180571556091309
44,4.002068758010864,3.8898425102233887,4.189330816268921,4.0751025676727295
45,3.9139018058776855,2.301313877105713,4.188532114028931,4.343890428543091
46,4.010195016860962,2.00642991065979,4.101824045181274,4.224493503570557
47,4.077426433563232,4.924202919006348,4.208845138549805,4.051136255264282
48,3.924403429031372,1.9289612770080566,4.291311979293823,4.3040289878845215
49,3.809492349624634,4.04334831237793,4.0523293018341064,4.087801456451416
50,3.80138897895813,4.111686706542969,4.3473286628723145,4.152635335922241
51,3.8001434803009033,3.969895839691162,4.20720100402832,4.310885190963745
52,3.899958610534668,3.9517524242401123,4.375160455703735,4.262518405914307
53,3.730489730834961,4.772897243499756,4.342855930328369,4.1317267417907715
54,3.8889706134796143,4.033398151397705,4.13072943687439,4.460838079452515
55,3.7862982749938965,3.8981504440307617,4.066708326339722,4.387213230133057
56,3.790890693664551,4.032634019851685,4.153490781784058,4.344299793243408
57,3.882941246032715,3.9441146850585938,4.304848670959473,4.426002502441406
58,3.888593912124634,3.919079303741455,4.25895881652832,4.308377742767334
59,3.748008966445923,4.276844263076782,4.193698883056641,4.39047908782959
60,3.7749381065368652,3.817201614379883,4.172086715698242,4.12407112121582
61,3.855050563812256,3.895167112350464,4.214940071105957,4.353763580322266
62,3.8238017559051514,4.140138864517212,4.181196212768555,4.525808095932007
63,3.740194082260132,3.924854040145874,4.3121771812438965,4.502609014511108
64,3.7677199840545654,3.897718667984009,4.482164144515991,4.233845472335815
65,3.964205503463745,3.9282519817352295,4.351301431655884,4.327938795089722
66,3.8583061695098877,4.4163665771484375,4.2899088859558105,4.412472486495972
67,3.9083101749420166,4.288534164428711,4.149935007095337,4.536628007888794
68,3.9303176403045654,4.576497554779053,4.140440464019775,4.587965488433838
69,3.8598976135253906,4.188519239425659,4.39873743057251,4.491959571838379
70,3.801064968109131,4.4680798053741455,4.473376274108887,4.243947744369507
71,3.8731188774108887,4.271622657775879,4.410563945770264,4.404789447784424
72,4.496294260025024,3.8829007148742676,4.282494783401489,4.555145502090454
73,3.995041847229004,3.8024306297302246,4.2264416217803955,4.35941219329834
74,3.8033623695373535,3.891766309738159,4.4020397663116455,4.3378050327301025
75,3.8292531967163086,3.8519208431243896,4.505943298339844,4.393660068511963
76,3.832313060760498,4.090193033218384,4.482464075088501,4.330874919891357
77,3.7828385829925537,3.9591357707977295,4.353710174560547,4.328335762023926
78,3.857473611831665,3.9957714080810547,4.229717493057251,4.674166202545166
79,3.845792770385742,3.9234964847564697,4.500576972961426,4.478551149368286
80,4.02908992767334,4.081795930862427,4.300606966018677,4.803999185562134
81,3.9221134185791016,4.2070324420928955,4.316953659057617,4.718523979187012
82,3.824968099594116,4.147770881652832,4.240125894546509,4.474165439605713
83,3.864013195037842,3.966170072555542,4.308587074279785,4.385559558868408
84,3.8618810176849365,4.716533660888672,4.26348876953125,4.360115051269531
85,3.797900915145874,3.8372654914855957,4.50603723526001,4.487617492675781
86,3.8856208324432373,4.222114562988281,4.455547571182251,4.501359224319458
87,3.8474349975585938,3.826063632965088,4.516793727874756,4.337502717971802
88,3.944046974182129,3.9197049140930176,4.4425225257873535,4.483994245529175
89,3.824488878250122,4.1045897006988525,4.432787656784058,4.5515594482421875
90,3.8801565170288086,3.926874876022339,4.496720790863037,4.581759214401245
91,3.8485007286071777,4.904301166534424,4.481932640075684,4.5229949951171875
92,3.875241279602051,3.9289793968200684,4.41177225112915,4.573108911514282
93,4.287536382675171,4.035761117935181,4.432779788970947,4.5950891971588135
94,3.9050776958465576,3.9333691596984863,4.628375053405762,4.362776041030884
