perplexity,kl_Q_Qbase,kl_Qbase_Q,kl_sum
1,0.9734386786646319,1.2457702031542859,1.1096044409094588
2,0.6207849460694727,0.8067143512941887,0.7137496486818307
3,0.4749900028587498,0.5972701258139685,0.5361300643363591
4,0.36686938925439394,0.44374636785771915,0.40530787855605654
5,0.30254256876231556,0.35828628328469253,0.330414426023504
6,0.238906242521416,0.2791305092049552,0.2590183758631856
7,0.20618215567389198,0.23282755025976137,0.21950485296682667
8,0.1720502301336744,0.19378679019301928,0.18291851016334684
9,0.13806510690837903,0.15418492426697453,0.14612501558767677
10,0.1118006989996499,0.12277775585826198,0.11728922742895594
11,0.09109561684438551,0.09854698673249676,0.09482130178844114
12,0.07666422488110904,0.0832849504632514,0.07997458767218021
13,0.06983532075334041,0.07473245000312109,0.07228388537823074
14,0.06358731700355022,0.06897108722401929,0.06627920211378475
15,0.05527026361680776,0.05858959653974963,0.05692993007827869
16,0.050378451283294205,0.05310785955643964,0.05174315541986692
17,0.03909059318226539,0.04175338355103657,0.04042198836665098
18,0.03335066960020455,0.03502244771939385,0.0341865586597992
19,0.03162946102863487,0.03286412709706204,0.03224679406284846
20,0.03032837700263825,0.031691992146022335,0.031010184574330295
21,0.026717254794322985,0.027714423215237795,0.02721583900478039
22,0.022268912634964527,0.022827231363589662,0.022548071999277094
23,0.01986787959566632,0.020447782508321452,0.020157831051993886
24,0.016321730381974653,0.016737875596781887,0.01652980298937827
25,0.014147218536137169,0.014581925553864974,0.014364572045001071
26,0.013366165657293361,0.013674498558772376,0.013520332108032869
27,0.011375044855669186,0.011631455175410102,0.011503250015539644
28,0.00869680458073289,0.008869734615107672,0.00878326959792028
29,0.009674169149751317,0.009934696089616845,0.00980443261968408
30,0.0,0.0,0.0
31,0.006701200702529234,0.006818913931532427,0.00676005731703083
32,0.006813170267266271,0.0069167007282335425,0.006864935497749906
33,0.008193552451615103,0.008357837053262374,0.008275694752438738
34,0.008566237107875057,0.008771455623437766,0.008668846365656412
35,0.00954157132267153,0.009666355385882112,0.009603963354276822
36,0.010832136910816168,0.011037556873397565,0.010934846892106866
37,0.0121430402096276,0.012132605985477005,0.012137823097552302
38,0.012071344764555705,0.012098949805430245,0.012085147284992975
39,0.013604029430652169,0.013536766276798957,0.013570397853725564
40,0.015997313278005423,0.015860089660122943,0.015928701469064183
41,0.016509619889459416,0.0162964737862753,0.016403046837867356
42,0.01888783785709452,0.018610720393468692,0.018749279125281605
43,0.018383236064843732,0.017982081910579907,0.01818265898771182
44,0.019866386521738933,0.01937975541604698,0.01962307096889296
45,0.01986892054872675,0.01925753717396026,0.019563228861343505
46,0.02216352636915978,0.021556184716885217,0.0218598555430225
47,0.024363520643466887,0.023325652032090027,0.02384458633777846
48,0.025038416457275434,0.02387271648032885,0.02445556646880214
49,0.028794477978780788,0.027527983286981833,0.028161230632881312
50,0.028185732936955508,0.026692928106285315,0.02743933052162041
51,0.030122867092916002,0.02834874518525675,0.029235806139086377
52,0.03159886230705375,0.02939331553626958,0.030496088921661665
53,0.03433389125052828,0.031915961804973615,0.033124926527750946
54,0.03847869746017843,0.035676725738791396,0.03707771159948491
55,0.03845379956388962,0.03549939537100173,0.03697659746744568
56,0.04160606268346344,0.03836197184755935,0.039984017265511394
57,0.043924166476242296,0.04004711340022254,0.041985639938232414
58,0.047527468749199886,0.043093288373907655,0.045310378561553774
59,0.05015479982659511,0.04529984395705974,0.04772732189182743
60,0.050224662340174434,0.04540860784524389,0.04781663509270916
61,0.05555985026423915,0.04990431704186301,0.052732083653051084
62,0.058195879305141,0.052135962977015074,0.05516592114107804
63,0.06287864106986502,0.05611229132727651,0.05949546619857077
64,0.058454916122450365,0.051698379535599026,0.055076647829024696
