perplexity,chain,chain_earlystop,normal,normal_earlystop
1,999,999,999,999
2,999,999,999,999
3,999,999,999,999
4,999,999,999,999
5,999,999,999,999
6,999,749,999,999
7,999,489,999,879
8,999,669,999,999
9,999,829,999,729
10,999,979,999,659
11,999,519,999,999
12,999,219,999,999
13,999,189,999,769
14,999,539,999,749
15,999,189,999,799
16,999,159,999,659
17,999,109,999,689
18,999,159,999,649
19,999,139,999,459
20,999,99,999,749
21,999,109,999,489
22,999,79,999,819
23,999,99,999,449
24,999,79,999,439
25,999,69,999,509
26,999,79,999,409
27,999,79,999,389
28,999,99,999,459
29,999,119,999,429
30,999,0.0,999,359
31,999,89,999,359
32,999,89,999,369
33,999,99,999,449
34,999,89,999,549
35,999,99,999,789
36,999,99,999,749
37,999,89,999,669
38,999,89,999,439
39,999,79,999,479
40,999,109,999,569
41,999,79,999,559
42,999,89,999,469
43,999,109,999,429
44,999,99,999,449
45,999,99,999,759
46,999,99,999,519
47,999,89,999,499
48,999,89,999,549
49,999,89,999,399
50,999,99,999,559
51,999,99,999,649
52,999,99,999,419
53,999,89,999,559
54,999,99,999,509
55,999,99,999,439
56,999,109,999,379
57,999,89,999,439
58,999,99,999,489
59,999,89,999,439
60,999,89,999,399
61,999,89,999,469
62,999,89,999,379
63,999,89,999,579
64,999,89,999,439
65,999,89,999,509
66,999,89,999,709
67,999,89,999,449
68,999,89,999,489
69,999,89,999,459
70,999,89,999,529
71,999,79,999,439
72,999,79,999,439
73,999,99,999,449
74,999,89,999,389
75,999,99,999,419
76,999,99,999,369
77,999,99,999,479
78,999,89,999,439
79,999,99,999,559
80,999,89,999,439
81,999,89,999,429
