perplexity,chain,chain_earlystop,normal,normal_earlystop
1,999,599,999,999
2,999,489,999,709
3,999,399,999,559
4,999,329,999,459
5,999,209,999,639
6,999,189,999,529
7,999,169,999,529
8,999,139,999,419
9,999,119,999,489
10,999,99,999,409
11,999,89,999,399
12,999,79,999,389
13,999,59,999,379
14,999,59,999,379
15,999,49,999,409
16,999,39,999,379
17,999,39,999,369
18,999,39,999,369
19,999,39,999,379
20,999,0.0,999,369
21,999,39,999,369
22,999,39,999,369
23,999,39,999,359
24,999,39,999,389
25,999,39,999,369
26,999,39,999,349
27,999,39,999,349
28,999,39,999,369
29,999,39,999,349
30,999,39,999,349
31,999,49,999,379
32,999,39,999,359
33,999,49,999,349
34,999,49,999,369
35,999,49,999,359
36,999,49,999,349
37,999,49,999,359
38,999,49,999,349
39,999,49,999,359
40,999,49,999,399
41,999,49,999,359
42,999,59,999,379
43,999,49,999,359
44,999,49,999,359
45,999,49,999,369
46,999,59,999,369
47,999,49,999,359
48,999,59,999,349
49,999,59,999,339
50,999,59,999,359
51,999,59,999,349
52,999,59,999,339
53,999,59,999,339
54,999,59,999,339
55,999,59,999,339
56,999,59,999,349
57,999,69,999,369
58,999,69,999,359
59,999,69,999,359
60,999,69,999,359
61,999,69,999,349
62,999,69,999,359
63,999,79,999,339
64,999,69,999,329
65,999,69,999,349
66,999,79,999,339
67,999,69,999,349
68,999,69,999,339
69,999,69,999,339
70,999,69,999,329
71,999,79,999,359
72,999,79,999,339
73,999,69,999,359
74,999,79,999,359
75,999,79,999,369
76,999,79,999,349
77,999,79,999,339
78,999,79,999,339
79,999,79,999,339
80,999,79,999,339
81,999,79,999,349
82,999,79,999,329
83,999,79,999,339
84,999,79,999,339
85,999,89,999,349
86,999,89,999,329
87,999,79,999,349
88,999,89,999,329
89,999,79,999,349
90,999,79,999,339
91,999,89,999,339
92,999,89,999,339
93,999,89,999,339
94,999,89,999,339
95,999,99,999,329
96,999,99,999,319
97,999,89,999,339
98,999,89,999,329
99,999,99,999,319
100,999,89,999,329
101,999,99,999,329
102,999,99,999,329
103,999,99,999,329
104,999,99,999,319
105,999,99,999,329
106,999,99,999,329
107,999,99,999,329
108,999,99,999,339
109,999,99,999,339
110,999,99,999,329
111,999,99,999,329
112,999,99,999,329
113,999,99,999,339
114,999,99,999,319
115,999,99,999,339
116,999,99,999,319
117,999,99,999,339
118,999,109,999,339
119,999,109,999,339
120,999,99,999,339
121,999,109,999,319
122,999,109,999,339
123,999,109,999,329
124,999,109,999,329
125,999,109,999,329
126,999,99,999,339
127,999,109,999,329
128,999,119,999,339
129,999,119,999,339
130,999,119,999,319
131,999,109,999,339
132,999,109,999,339
133,999,109,999,339
134,999,109,999,339
135,999,109,999,339
136,999,109,999,339
137,999,109,999,329
138,999,109,999,319
139,999,109,999,339
140,999,109,999,339
141,999,109,999,349
142,999,119,999,339
143,999,109,999,339
144,999,109,999,329
145,999,119,999,329
146,999,119,999,339
147,999,119,999,369
148,999,119,999,359
149,999,119,999,319
150,999,139,999,329
151,999,139,999,339
152,999,119,999,319
153,999,199,999,329
154,999,159,999,349
155,999,139,999,369
156,999,139,999,339
157,999,159,999,389
158,999,189,999,349
159,999,189,999,339
160,999,189,999,349
161,999,189,999,359
162,999,189,999,339
163,999,189,999,359
164,999,189,999,369
165,999,189,999,349
166,999,189,999,399
167,999,189,999,349
168,999,179,999,349
169,999,179,999,379
170,999,189,999,339
171,999,189,999,339
172,999,189,999,369
173,999,179,999,339
174,999,189,999,339
175,999,199,999,349
176,999,189,999,389
177,999,209,999,349
178,999,199,999,339
179,999,189,999,339
180,999,179,999,339
181,999,199,999,349
182,999,199,999,379
183,999,209,999,329
184,999,209,999,369
185,999,199,999,349
186,999,279,999,379
187,999,279,999,339
188,999,209,999,399
189,999,249,999,349
190,999,279,999,339
191,999,279,999,359
192,999,249,999,359
193,999,249,999,339
194,999,249,999,419
195,999,249,999,339
196,999,249,999,379
197,999,249,999,339
198,999,249,999,329
199,999,249,999,339
200,999,249,999,359
201,999,249,999,339
202,999,249,999,349
203,999,249,999,349
204,999,249,999,369
205,999,249,999,359
206,999,249,999,339
207,999,249,999,369
208,999,249,999,349
209,999,239,999,349
210,999,249,999,359
211,999,239,999,359
212,999,249,999,369
213,999,249,999,359
214,999,239,999,359
215,999,239,999,389
216,999,239,999,379
217,999,239,999,339
218,999,239,999,359
219,999,239,999,369
220,999,239,999,349
221,999,239,999,339
222,999,239,999,369
223,999,249,999,349
224,999,249,999,379
225,999,239,999,389
226,999,239,999,349
227,999,239,999,359
228,999,249,999,359
229,999,239,999,359
230,999,239,999,349
231,999,239,999,349
232,999,239,999,389
233,999,239,999,349
234,999,239,999,349
235,999,239,999,369
236,999,239,999,339
237,999,239,999,379
238,999,239,999,359
239,999,239,999,339
240,999,239,999,339
241,999,239,999,349
242,999,239,999,369
243,999,239,999,349
244,999,239,999,379
245,999,239,999,359
246,999,239,999,369
247,999,239,999,359
248,999,239,999,379
249,999,239,999,359
250,999,239,999,339
251,999,239,999,369
252,999,239,999,359
253,999,229,999,359
254,999,239,999,349
255,999,229,999,349
