perplexity,chain,chain_earlystop,normal,normal_earlystop
1,999,999,999,999
2,999,999,999,999
3,999,999,999,999
4,999,999,999,999
5,999,689,999,819
6,999,929,999,999
7,999,999,999,789
8,999,609,999,799
9,999,769,999,929
10,999,849,999,719
11,999,759,999,869
12,999,829,999,699
13,999,529,999,779
14,999,489,999,669
15,999,629,999,599
16,999,599,999,669
17,999,519,999,629
18,999,529,999,579
19,999,469,999,609
20,999,559,999,549
21,999,429,999,669
22,999,429,999,649
23,999,399,999,529
24,999,229,999,619
25,999,209,999,529
26,999,199,999,559
27,999,199,999,579
28,999,199,999,599
29,999,189,999,559
30,999,199,999,569
31,999,149,999,559
32,999,149,999,609
33,999,119,999,519
34,999,109,999,609
35,999,89,999,599
36,999,89,999,539
37,999,89,999,629
38,999,79,999,519
39,999,79,999,519
40,999,79,999,489
41,999,69,999,549
42,999,69,999,519
43,999,59,999,549
44,999,59,999,459
45,999,59,999,479
46,999,49,999,489
47,999,49,999,469
48,999,49,999,469
49,999,49,999,519
50,999,0.0,999,469
51,999,49,999,509
52,999,49,999,489
53,999,49,999,499
54,999,49,999,459
55,999,49,999,459
56,999,49,999,489
57,999,49,999,449
58,999,49,999,429
59,999,49,999,459
60,999,49,999,439
61,999,49,999,429
62,999,49,999,469
63,999,49,999,479
64,999,49,999,469
65,999,39,999,459
66,999,39,999,479
67,999,49,999,439
68,999,49,999,459
69,999,39,999,419
70,999,39,999,449
71,999,39,999,469
72,999,39,999,439
73,999,39,999,439
74,999,39,999,439
75,999,39,999,419
76,999,39,999,429
77,999,39,999,429
78,999,39,999,429
79,999,39,999,419
80,999,39,999,419
81,999,49,999,529
82,999,39,999,419
83,999,39,999,419
84,999,39,999,409
85,999,49,999,399
86,999,49,999,399
87,999,49,999,429
88,999,49,999,409
89,999,49,999,549
90,999,49,999,469
91,999,49,999,409
92,999,49,999,529
93,999,49,999,449
94,999,49,999,409
95,999,49,999,449
96,999,49,999,459
97,999,49,999,619
98,999,49,999,399
99,999,49,999,439
100,999,49,999,479
101,999,49,999,459
102,999,49,999,419
103,999,49,999,429
104,999,49,999,449
105,999,49,999,439
106,999,49,999,549
107,999,49,999,489
108,999,49,999,419
109,999,49,999,439
110,999,49,999,399
111,999,49,999,449
112,999,49,999,449
113,999,49,999,399
114,999,49,999,469
115,999,49,999,489
116,999,49,999,389
117,999,49,999,389
118,999,49,999,439
119,999,49,999,429
120,999,49,999,399
121,999,49,999,409
122,999,49,999,449
123,999,49,999,419
124,999,49,999,419
125,999,59,999,429
126,999,59,999,439
127,999,59,999,259
128,999,59,999,259
129,999,59,999,259
130,999,59,999,259
131,999,59,999,259
132,999,59,999,259
133,999,59,999,259
134,999,59,999,259
135,999,59,999,259
136,999,59,999,259
137,999,59,259,259
138,999,59,259,259
139,999,59,259,259
140,999,59,259,259
141,999,59,259,259
142,999,59,259,259
143,999,59,259,259
144,999,59,259,259
145,999,59,259,259
146,999,59,259,259
147,999,59,259,259
148,999,59,259,259
149,999,59,259,259
150,999,59,259,259
151,999,59,259,259
152,999,59,259,259
153,999,59,259,259
154,999,59,259,259
155,999,59,259,259
156,999,69,259,259
157,999,69,259,259
158,999,69,259,259
159,999,69,259,259
160,999,69,259,259
161,999,69,259,259
162,999,69,259,259
163,999,69,259,259
164,999,69,259,259
165,999,69,259,259
166,999,69,259,259
167,999,69,259,259
168,999,69,259,259
169,999,69,259,259
170,999,69,259,259
171,999,69,259,259
172,999,69,259,259
173,999,69,259,259
174,999,69,259,259
175,999,69,259,259
176,999,69,259,259
177,999,69,259,259
178,999,79,259,259
179,999,69,259,259
180,999,69,259,259
181,999,69,259,259
182,999,79,259,259
183,999,79,259,259
184,999,79,259,259
185,999,79,259,259
186,999,79,259,259
187,999,79,259,259
188,999,89,259,259
189,999,79,259,259
190,999,89,259,259
191,999,89,259,259
192,999,99,259,259
193,999,89,259,259
194,999,99,259,259
195,999,89,259,259
196,999,89,259,259
197,999,89,259,259
198,999,99,259,259
199,999,89,259,259
200,999,99,259,259
201,999,89,259,259
202,999,89,259,259
203,999,89,259,259
204,999,109,259,259
205,999,119,259,259
206,999,119,259,259
207,999,109,259,259
208,999,109,259,259
209,999,109,259,259
210,999,109,259,259
211,999,109,259,259
212,999,109,259,259
213,999,119,259,259
214,999,109,259,259
215,999,129,259,259
216,999,119,259,259
217,999,119,259,259
218,999,139,259,259
219,999,109,259,259
220,999,119,259,259
221,999,129,259,259
222,999,129,259,259
223,999,129,259,259
224,999,129,259,259
225,999,139,259,259
226,999,119,259,259
227,999,169,259,259
228,999,179,259,259
229,999,179,259,259
230,999,149,259,259
231,999,139,259,259
232,999,139,259,259
233,999,149,259,259
234,999,209,259,259
235,999,119,259,259
236,999,139,259,259
237,999,159,259,259
238,999,219,259,259
239,999,209,259,259
240,999,169,259,259
241,999,229,259,259
242,999,239,259,259
243,999,229,259,259
244,999,229,259,259
245,999,229,259,259
246,999,329,259,259
247,999,219,259,259
248,999,229,259,259
249,999,319,259,259
250,999,319,259,259
251,999,319,259,259
252,999,319,259,259
253,999,329,259,259
254,999,329,259,259
255,999,319,259,259
256,999,339,259,259
257,999,329,259,259
258,999,319,259,259
259,999,339,259,259
260,999,349,259,259
261,999,339,259,259
262,999,339,259,259
263,999,349,259,259
264,999,349,259,259
265,999,349,259,259
266,999,349,259,259
267,999,349,259,259
268,999,339,259,259
269,999,349,259,259
270,999,349,259,259
271,999,349,259,259
272,999,339,259,259
273,999,349,259,259
