perplexity,kl_Q_Qbase,kl_Qbase_Q,kl_sum
1,1.048832990011347,1.1759485102493108,1.112390750130329
2,0.7375715234412483,0.774660675398451,0.7561160994198497
3,0.573417920468401,0.5816839870931862,0.5775509537807937
4,0.4223507380876705,0.41803021770856935,0.4201904778981199
5,0.33356008657107816,0.3298698060853303,0.3317149463282042
6,0.2747413093676735,0.27439942124268424,0.27457036530517887
7,0.24064850644741315,0.23737819906333296,0.23901335275537305
8,0.20378366527066333,0.20025813101281348,0.2020208981417384
9,0.17365886171373351,0.17111908438233353,0.17238897304803352
10,0.14598248554595591,0.14220015666703015,0.14409132110649303
11,0.12905658539208564,0.1253124009011276,0.12718449314660663
12,0.11294445727480068,0.10842725219798509,0.11068585473639289
13,0.10020862183867257,0.09575109739990069,0.09797985961928662
14,0.08646024120395204,0.08215098237247781,0.08430561178821493
15,0.07764526132565885,0.07377182252040874,0.0757085419230338
16,0.06806309138814334,0.06394396299352423,0.06600352719083379
17,0.061134434884026145,0.05770094665302134,0.05941769076852374
18,0.05443037872213293,0.051178925097867055,0.05280465190999999
19,0.04491866445054319,0.04151816276226489,0.043218413606404035
20,0.03699944691868431,0.03429279408836908,0.035646120503526696
21,0.033283723913243156,0.03076610446251654,0.03202491418787985
22,0.03221108790812099,0.029483276621493956,0.030847182264807472
23,0.025357701502576085,0.023337618000369643,0.024347659751472864
24,0.021198905719734096,0.01950018231438695,0.020349544017060524
25,0.01850245570125776,0.01648707620474396,0.01749476595300086
26,0.014573231969772244,0.012570672373356314,0.013571952171564278
27,0.008018148820269818,0.00767471699611649,0.007846432908193155
28,0.007249044721651826,0.007004106110017503,0.007126575415834665
29,0.007501605540789749,0.007143480498479987,0.0073225430196348675
30,0.0,0.0,0.0
31,0.00776502690217123,0.007520105085802657,0.007642565993986944
32,0.006198253732716278,0.005992013646595268,0.006095133689655773
33,0.0060121899992058876,0.0060731871284474,0.006042688563826644
34,0.007745843933562829,0.007679349801495167,0.007712596867528999
35,0.009851921594118714,0.009923346816519948,0.00988763420531933
36,0.009545737314074862,0.009330734544476325,0.009438235929275594
37,0.00891598940714551,0.00892373516799751,0.008919862287571509
38,0.01122210528955882,0.0112536946495513,0.01123789996955506
39,0.010834425882679044,0.010812295215939832,0.010823360549309439
40,0.011452124371997021,0.011120103509412583,0.011286113940704803
41,0.01395919269777306,0.013612895487837139,0.0137860440928051
42,0.01337346043759029,0.013037115541639438,0.013205287989614865
43,0.013936266248191803,0.01378591790518004,0.013861092076685922
44,0.013949514431756136,0.013775912838086976,0.013862713634921555
45,0.015513155796104612,0.015359992847037655,0.015436574321571132
46,0.016297240080841456,0.01579304974923105,0.016045144915036252
47,0.016679436214596326,0.016409745099226516,0.01654459065691142
48,0.017722288386447883,0.01723451755849167,0.017478402972469775
49,0.018042576661204804,0.01780919326734052,0.01792588496427266
50,0.02006368851117054,0.019524155163193616,0.01979392183718208
51,0.019795380704323146,0.019417405614823597,0.01960639315957337
52,0.021709787713867747,0.021191003991784498,0.021450395852826123
53,0.02117217988904259,0.02072327060943634,0.020947725249239463
54,0.023494268913674638,0.022969478069646505,0.023231873491660573
55,0.02401561986110981,0.02330381974451834,0.023659719802814075
56,0.025089574048344925,0.024471461610962017,0.024780517829653473
57,0.025494181994680492,0.024698211317370225,0.02509619665602536
58,0.02674503801936965,0.025978156737023805,0.026361597378196728
59,0.027032618807987494,0.026412712008902377,0.026722665408444937
60,0.028890944451143027,0.028001239502655983,0.028446091976899505
