perplexity,kl_Q_Qbase,kl_Qbase_Q,kl_sum
1,0.6482301178730829,0.8677681535942025,0.7579991357336426
2,0.36408479742419997,0.3990034862127184,0.3815441418184592
3,0.16744353637689496,0.18083946640029436,0.17414150138859466
4,0.13245980660674017,0.14260748314599614,0.13753364487636816
5,0.09930573052051228,0.10692289847517489,0.10311431449784358
6,0.08344886213212203,0.09116748592860874,0.08730817403036539
7,0.07928582309353403,0.08836467043859014,0.0838252467660621
8,0.07754991832854899,0.08676171602239591,0.08215581717547245
9,0.08340111774846368,0.09057865637344929,0.08698988706095648
10,0.0,0.0,0.0
11,0.07503132968575271,0.07861932966395813,0.07682532967485542
12,0.07883717095702045,0.08227914574031236,0.0805581583486664
13,0.08037333417699036,0.08104416143653682,0.0807087478067636
14,0.07589886532101878,0.07556205353541123,0.075730459428215
15,0.08092768868551319,0.07817258572005756,0.07955013720278536
16,0.08518385109942392,0.084476279554968,0.08483006532719596
17,0.0916185656559903,0.09086253215931919,0.09124054890765475
18,0.09101420389590015,0.08731854788612058,0.08916637589101037
19,0.09698640426090252,0.09573094634091009,0.0963586753009063
20,0.0931233845791778,0.09163165321672398,0.0923775188979509
21,0.10906370739832341,0.10636176044655021,0.10771273392243681
22,0.11335008824817354,0.10955054975973483,0.11145031900395419
23,0.11953671495119744,0.11441018929982996,0.1169734521255137
24,0.13206793404724806,0.12646145957752822,0.12926469681238814
25,0.14277702041721502,0.13527405918971586,0.13902553980346544
26,0.14050000705565724,0.13551400848685277,0.13800700777125502
27,0.15024633839437576,0.1445806113769325,0.14741347488565415
28,0.17035864031628428,0.16352961033822042,0.16694412532725234
29,0.16991237693137357,0.1618384273710895,0.16587540215123153
30,0.17719401304901994,0.1763378672292258,0.17676594013912286
31,0.18081642469192383,0.17605199405518915,0.17843420937355647
32,0.19261170646859582,0.18118675799198758,0.1868992322302917
33,0.20764361997049985,0.2001866741474364,0.20391514705896813
34,0.2091722203448377,0.2017219857757273,0.20544710306028252
35,0.2017567013669554,0.19633223683004605,0.1990444690985007
36,0.20455230525529122,0.20057609136301233,0.2025641983091518
37,0.23047113508906675,0.21065588591705742,0.22056351050306208
38,0.22549569275654663,0.21102661395173716,0.2182611533541419
39,0.2338931797768516,0.21906596680514046,0.22647957329099602
40,0.244363925663604,0.22714197809367911,0.23575295187864154
41,0.24691693598629888,0.22527475088126042,0.23609584343377965
42,0.24018101242578105,0.22294179100316952,0.23156140171447528
43,0.2549845538471369,0.23544045766818036,0.24521250575765863
44,0.25331577191998444,0.234391304831528,0.24385353837575624
45,0.2569510219580083,0.24626557387552844,0.25160829791676836
46,0.2658487970076887,0.2538351227864061,0.2598419598970474
47,0.27121479672456983,0.26024648771243725,0.2657306422185035
48,0.2990226056352846,0.27305063937164065,0.2860366225034626
49,0.2935035490358321,0.2688821395942542,0.28119284431504316
50,0.314039129232496,0.287712071169423,0.3008756002009595
51,0.28376432567818693,0.27172176698062506,0.277743046329406
52,0.2992236006849167,0.2851012459067084,0.29216242329581255
53,0.33476926359091386,0.30862183182866576,0.3216955477097898
54,0.2892003190824825,0.2751043744775211,0.2821523467800018
55,0.340052583545708,0.3114838381569903,0.32576821085134916
56,0.3827429690951514,0.35761698849571927,0.3701799787954353
57,0.3916056219883096,0.3632205235336987,0.37741307276100416
58,0.3422317822177947,0.3086490764078187,0.3254404293128067
59,0.3278210018938265,0.30881622468798986,0.31831861329090816
60,0.3173691596077154,0.29835724164005206,0.3078632006238837
61,0.31697236317693606,0.2991251089191305,0.3080487360480333
62,0.4138067794549797,0.3885053603651666,0.40115606991007313
63,0.4106821864265706,0.38381436472642316,0.3972482755764969
64,0.34537794874221567,0.319924330586345,0.33265113966428034
65,0.3265517477125633,0.31284815473284344,0.31969995122270334
