perplexity,kl_Q_Qbase,kl_Qbase_Q,kl_sum
1,1.2191989905186058,2.0828102773724106,1.6510046339455082
2,0.8516257960652062,1.094038160807057,0.9728319784361317
3,0.6285414878886375,0.7085053686948635,0.6685234282917505
4,0.47443725461807484,0.5908633298123305,0.5326502922152027
5,0.40619203967296363,0.513569378241049,0.4598807089570063
6,0.34924632783583487,0.44218803230581777,0.39571718007082635
7,0.2745829508867325,0.3491648001766081,0.31187387553167034
8,0.21154032296619774,0.24447404745565005,0.2280071852109239
9,0.16074254142816297,0.1714766921590969,0.16610961679362993
10,0.11763226999861162,0.12384010698328102,0.12073618849094632
11,0.11742328829944111,0.12243905898513291,0.119931173642287
12,0.07550538799551695,0.07813896393974823,0.07682217596763259
13,0.05886473520088928,0.06074650111752375,0.059805618159206514
14,0.041282143050072904,0.042630151810018974,0.04195614743004594
15,0.03292664430595102,0.0337484262684708,0.03333753528721091
16,0.020363552075225184,0.02065132438506689,0.020507438230146037
17,0.00829561759574543,0.008518656894398105,0.008407137245071767
18,0.0044594972220387205,0.004550375679058163,0.004504936450548442
19,0.0029287524557881674,0.0029674831262626452,0.0029481177910254063
20,0.0,0.0,0.0
21,0.008073828574756031,0.00799571796499267,0.00803477326987435
22,0.010494689127469543,0.010350744784224004,0.010422716955846774
23,0.01699356698109027,0.016770649108738333,0.0168821080449143
24,0.025565810491334346,0.024974964930777645,0.025270387711055997
25,0.03094011463233385,0.030144852167772646,0.03054248340005325
26,0.04109163377734041,0.03999299681785893,0.04054231529759967
27,0.04921767755579688,0.04755876310062429,0.048388220328210586
28,0.061255560023454954,0.05948416630036664,0.0603698631619108
29,0.07214542893468834,0.06951023975492424,0.07082783434480629
30,0.0874006011547778,0.0845581995571457,0.08597940035596174
31,0.09748728379066893,0.09400900757056976,0.09574814568061935
32,0.11133402557346997,0.10739030583494613,0.10936216570420805
33,0.12333730631107037,0.11826519389619328,0.12080125010363182
