perplexity,kl_Q_Qbase,kl_Qbase_Q,kl_sum
1,0.4572319858435305,0.8298968084385375,0.643564397141034
2,0.18455088321223348,0.2593368048979401,0.22194384405508677
3,0.13841231635961657,0.17017749055973005,0.1542949034596733
4,0.03355517092847231,0.03779350385864333,0.03567433739355782
5,0.0,0.0,0.0
6,0.023588263073971927,0.02417375701007887,0.023881010042025398
7,0.04232170030065999,0.04120628361080021,0.0417639919557301
8,0.057008797210328144,0.05363003006159893,0.05531941363596354
9,0.07783415669201542,0.06891316154254473,0.07337365911728008
10,0.12343666530839499,0.10585089383254072,0.11464377957046785
11,0.14017122212413027,0.12109303468555446,0.13063212840484237
12,0.18166584939512856,0.14688640392432417,0.16427612665972635
13,0.19397242735783454,0.16047111097932737,0.17722176916858096
14,0.23053850249279778,0.1898959518634779,0.21021722717813784
15,0.28546989338901113,0.24894070262767148,0.2672052980083413
16,0.29190534231189114,0.23548499740626294,0.26369516985907704
17,0.3135028893045396,0.2525843630365459,0.2830436261705428
18,0.3639850924600958,0.29520234542375434,0.3295937189419251
19,0.3746615532365928,0.28891387681310055,0.33178771502484666
20,0.4125690045427789,0.3231065374145822,0.36783777097868053
21,0.4470773987605129,0.3613455190457547,0.4042114589031338
22,0.48465240291231726,0.39919573020296667,0.44192406655764194
23,0.5227416031111226,0.42886630090200706,0.47580395200656483
24,0.5369157733712023,0.4384475230175096,0.487681648194356
25,0.5629673561491233,0.4701401309758451,0.5165537435624842
26,0.5726875357386659,0.4647198140705663,0.5187036749046161
27,0.605467891235263,0.4884086683252863,0.5469382797802746
28,0.6006046249870121,0.4799338512209519,0.540269238103982
29,0.6285188013777399,0.5084102432234965,0.5684645223006182
30,0.6453468253751459,0.538414484973297,0.5918806551742215
31,0.6832998734702079,0.5510879043792867,0.6171938889247472
32,0.7020984583712029,0.5942164382334183,0.6481574483023106
33,0.7391021002520421,0.6386642797219679,0.688883189987005
