perplexity,kl_Q_Qbase,kl_Qbase_Q,kl_sum
1,1.346216459091739,2.722187005482356,2.0342017322870474
2,0.9362513073497505,1.2927644046595168,1.1145078560046335
3,0.6426036846188,0.8506918779810108,0.7466477812999054
4,0.5246175685790712,0.6618099885005566,0.5932137785398139
5,0.39491907558882067,0.45409645623082107,0.42450776590982087
6,0.3294544728486214,0.3958043104282228,0.3626293916384221
7,0.2703932818258743,0.3376743558213524,0.30403381882361336
8,0.19908768073680883,0.22818524874328908,0.21363646474004894
9,0.17982261577336983,0.20005188431664,0.18993725004500492
10,0.14584879596919867,0.16096284529647448,0.1534058206328366
11,0.1299640375271979,0.13501219748983517,0.13248811750851652
12,0.09150400365203287,0.09955779415884031,0.09553089890543659
13,0.08592058606708466,0.08630452750712228,0.08611255678710347
14,0.037102232931147026,0.038035014549603466,0.03756862374037524
15,0.030939693635952163,0.03130508971409801,0.031122391675025087
16,0.018531843994218,0.019106405369219343,0.01881912468171867
17,0.009717219750809457,0.01000390933915504,0.009860564544982249
18,0.0072610023861093345,0.00750665474131155,0.007383828563710442
19,0.003625136085374207,0.0036407158505837953,0.003632925967979001
20,0.0,0.0,0.0
21,0.00791770579311462,0.007838368507143992,0.007878037150129306
22,0.013708711538843982,0.013504005299131178,0.01360635841898758
23,0.02203152404266025,0.021697450462902754,0.021864487252781502
24,0.021129113411730113,0.020589541389396542,0.02085932740056333
25,0.028917736560860673,0.02820128762598787,0.02855951209342427
26,0.038218381746796634,0.0369834899701172,0.03760093585845692
27,0.05273294026713693,0.05132900167910672,0.05203097097312183
28,0.06270701254890781,0.060520481330482004,0.06161374693969491
29,0.07312746254485908,0.07050891864299008,0.07181819059392458
30,0.0884274631792765,0.08534774105345906,0.08688760211636778
31,0.09436839383010762,0.09103728185598572,0.09270283784304667
32,0.12365036340159766,0.1192677969854988,0.12145908019354823
33,0.11386274734687171,0.10790805567073072,0.11088540150880122
